_group,orig.ident,celltype_major,n_cells,subtype,ARC_expr
CID3586__T-cells,CID3586,T-cells,4596,HER2+,1.810422380646662
CID44971__T-cells,CID44971,T-cells,4364,TNBC,1.0522711833503577
CID4290A__Cancer Epithelial,CID4290A,Cancer Epithelial,4013,ER+,1.5338114482537093
CID44991__Cancer Epithelial,CID44991,Cancer Epithelial,3991,TNBC,0.28621740768741305
CID4398__T-cells,CID4398,T-cells,3730,ER+,0.4082971310064336
CID4495__T-cells,CID4495,T-cells,3502,TNBC,0.49055115530217286
CID4513__Myeloid,CID4513,Myeloid,2794,TNBC,0.7601057545088732
CID4471__Endothelial,CID4471,Endothelial,2772,ER+,2.538895243384634
CID3963__T-cells,CID3963,T-cells,2671,TNBC,2.1382670499559313
CID4067__Cancer Epithelial,CID4067,Cancer Epithelial,2329,ER+,5.6283175454845
CID4535__Cancer Epithelial,CID4535,Cancer Epithelial,2194,ER+,0.1860120996376827
CID4066__T-cells,CID4066,T-cells,2171,HER2+,2.406381061347776
CID4515__Cancer Epithelial,CID4515,Cancer Epithelial,2168,TNBC,0.32055993579037373
CID4471__Normal Epithelial,CID4471,Normal Epithelial,1966,ER+,4.034854555088371
CID4530N__Cancer Epithelial,CID4530N,Cancer Epithelial,1708,ER+,0.951052647249903
CID4040__T-cells,CID4040,T-cells,1512,ER+,2.615353180839768
CID3921__T-cells,CID3921,T-cells,1473,HER2+,2.2340723814237737
CID4513__T-cells,CID4513,T-cells,1466,TNBC,1.4219150576247395
CID3948__T-cells,CID3948,T-cells,1465,ER+,2.378367069688965
CID44991__Plasmablasts,CID44991,Plasmablasts,1444,TNBC,0.09876556013374525
CID45171__T-cells,CID45171,T-cells,1346,HER2+,1.0630112666554723
CID3838__T-cells,CID3838,T-cells,1343,HER2+,2.377300641714964
CID4471__CAFs,CID4471,CAFs,1291,ER+,3.0380571865718218
CID4471__PVL,CID4471,PVL,1285,ER+,3.697021161492136
CID4495__Cancer Epithelial,CID4495,Cancer Epithelial,1183,TNBC,0.38578688220692825
CID4523__Cancer Epithelial,CID4523,Cancer Epithelial,1166,TNBC,0.7297110256764046
CID4513__Cancer Epithelial,CID4513,Cancer Epithelial,1055,TNBC,3.829983892754812
CID4495__Plasmablasts,CID4495,Plasmablasts,1018,TNBC,0.1681787844433914
CID4530N__Endothelial,CID4530N,Endothelial,1013,ER+,3.34737869885844
CID4066__CAFs,CID4066,CAFs,923,HER2+,3.610334498388478
CID44991__T-cells,CID44991,T-cells,899,TNBC,0.43885330822374935
CID4495__Myeloid,CID4495,Myeloid,897,TNBC,0.8426942386545966
CID44971__Cancer Epithelial,CID44971,Cancer Epithelial,894,TNBC,1.1337835091885289
CID45171__Cancer Epithelial,CID45171,Cancer Epithelial,807,HER2+,1.2793012276948703
CID4495__B-cells,CID4495,B-cells,771,TNBC,0.0
CID44041__T-cells,CID44041,T-cells,742,TNBC,0.5123867498055598
CID44971__Normal Epithelial,CID44971,Normal Epithelial,735,TNBC,4.223021120871291
CID3586__Normal Epithelial,CID3586,Normal Epithelial,697,HER2+,4.252528446356343
CID4067__T-cells,CID4067,T-cells,687,ER+,1.9998853374572245
CID44971__Myeloid,CID44971,Myeloid,684,TNBC,1.2701155824003023
CID44041__CAFs,CID44041,CAFs,681,TNBC,2.3687523748701156
CID4463__Cancer Epithelial,CID4463,Cancer Epithelial,659,ER+,1.5764394460516034
CID4471__T-cells,CID4471,T-cells,638,ER+,2.450041920520114
CID4066__PVL,CID4066,PVL,630,HER2+,4.692396411956422
CID4535__PVL,CID4535,PVL,589,ER+,2.911330229669488
CID44971__CAFs,CID44971,CAFs,582,TNBC,4.944668603209256
CID4515__Myeloid,CID4515,Myeloid,563,TNBC,1.3550112771026164
CID4290A__T-cells,CID4290A,T-cells,539,ER+,2.6682662708812703
CID4066__Endothelial,CID4066,Endothelial,535,HER2+,3.3788502557723565
CID4066__Cancer Epithelial,CID4066,Cancer Epithelial,521,HER2+,1.4987091388907574
CID4515__B-cells,CID4515,B-cells,494,TNBC,0.0
CID3963__Myeloid,CID3963,Myeloid,479,TNBC,3.6740813854343486
CID4530N__PVL,CID4530N,PVL,469,ER+,4.567135453695938
CID3838__Myeloid,CID3838,Myeloid,444,HER2+,3.6244415081269317
CID4040__PVL,CID4040,PVL,443,ER+,3.6987702974190007
CID3921__Cancer Epithelial,CID3921,Cancer Epithelial,439,HER2+,0.9976755835283856
CID4515__T-cells,CID4515,T-cells,419,TNBC,0.0
CID4530N__Normal Epithelial,CID4530N,Normal Epithelial,398,ER+,3.3462427325805137
CID4535__T-cells,CID4535,T-cells,392,ER+,1.5235016317327033
CID3921__Myeloid,CID3921,Myeloid,385,HER2+,3.752385219864692
CID4465__CAFs,CID4465,CAFs,379,TNBC,2.3890964588907937
CID44971__B-cells,CID44971,B-cells,369,TNBC,0.9930086429096974
CID4530N__CAFs,CID4530N,CAFs,367,ER+,3.402719669537876
CID4523__Myeloid,CID4523,Myeloid,354,TNBC,0.0
CID4290A__Myeloid,CID4290A,Myeloid,336,ER+,3.8774141464842677
CID3586__B-cells,CID3586,B-cells,321,HER2+,0.0
CID4465__PVL,CID4465,PVL,317,TNBC,0.0
CID4290A__Endothelial,CID4290A,Endothelial,297,ER+,3.633175174112162
CID4465__Endothelial,CID4465,Endothelial,294,TNBC,2.2430271207740806
CID4530N__T-cells,CID4530N,T-cells,290,ER+,1.846915879868843
CID4471__Myeloid,CID4471,Myeloid,282,ER+,2.622347803384308
CID4290A__CAFs,CID4290A,CAFs,277,ER+,3.6861132394681118
CID4066__Normal Epithelial,CID4066,Normal Epithelial,270,HER2+,4.641667863090584
CID3941__T-cells,CID3941,T-cells,266,ER+,2.180898294576081
CID4067__Myeloid,CID4067,Myeloid,261,ER+,3.8830354350967284
CID3948__Cancer Epithelial,CID3948,Cancer Epithelial,260,ER+,2.658636230849569
CID3946__PVL,CID3946,PVL,248,TNBC,3.900187097350399
CID4535__Myeloid,CID4535,Myeloid,247,ER+,1.1306749441372619
CID44991__CAFs,CID44991,CAFs,244,TNBC,0.0
CID3948__Plasmablasts,CID3948,Plasmablasts,232,ER+,0.8131239555398071
CID4495__CAFs,CID4495,CAFs,232,TNBC,2.040720054844215
CID4398__Myeloid,CID4398,Myeloid,224,ER+,0.6069524661408967
CID3963__Cancer Epithelial,CID3963,Cancer Epithelial,222,TNBC,0.8763086890651148
CID4066__Myeloid,CID4066,Myeloid,220,HER2+,3.435450987266854
CID44971__Endothelial,CID44971,Endothelial,217,TNBC,3.0521537358441684
CID4535__Endothelial,CID4535,Endothelial,217,ER+,3.6343646515693813
CID4463__T-cells,CID4463,T-cells,217,ER+,0.0
CID4040__Endothelial,CID4040,Endothelial,217,ER+,3.292584796072842
CID4471__Cancer Epithelial,CID4471,Cancer Epithelial,212,ER+,2.4376756824899637
CID3921__Endothelial,CID3921,Endothelial,210,HER2+,2.759692708320508
CID4461__Cancer Epithelial,CID4461,Cancer Epithelial,207,ER+,2.4132336215902375
CID44991__Myeloid,CID44991,Myeloid,204,TNBC,0.5323307881009708
CID3838__CAFs,CID3838,CAFs,202,HER2+,2.240253790790225
CID3586__Myeloid,CID3586,Myeloid,200,HER2+,2.279042440242687
CID3941__Cancer Epithelial,CID3941,Cancer Epithelial,196,ER+,4.497417789024173
CID4495__PVL,CID4495,PVL,191,TNBC,1.6529378921490103
CID4515__CAFs,CID4515,CAFs,187,TNBC,3.6043015061739165
CID4067__Endothelial,CID4067,Endothelial,186,ER+,3.104777061069289
CID3586__CAFs,CID3586,CAFs,185,HER2+,5.859979574962855
CID4495__Endothelial,CID4495,Endothelial,184,TNBC,1.4781665657898897
CID4461__Endothelial,CID4461,Endothelial,182,ER+,0.0
CID4465__Myeloid,CID4465,Myeloid,181,TNBC,0.0
CID4398__CAFs,CID4398,CAFs,178,ER+,1.9033062449671818
CID44041__B-cells,CID44041,B-cells,176,TNBC,0.0
CID3921__Plasmablasts,CID3921,Plasmablasts,175,HER2+,1.2487229442781858
CID4523__T-cells,CID4523,T-cells,175,TNBC,1.0237722842137158
CID45171__Myeloid,CID45171,Myeloid,172,HER2+,1.3893595480351921
CID3946__CAFs,CID3946,CAFs,167,TNBC,3.7401933013545503
CID4513__Endothelial,CID4513,Endothelial,162,TNBC,2.7493245128503596
CID3921__B-cells,CID3921,B-cells,162,HER2+,0.0
CID3838__PVL,CID3838,PVL,158,HER2+,3.7435401248669113
CID3586__Endothelial,CID3586,Endothelial,156,HER2+,4.203169191837098
CID3946__Myeloid,CID3946,Myeloid,156,TNBC,3.8792500029154127
CID44041__Normal Epithelial,CID44041,Normal Epithelial,151,TNBC,1.6822130970656877
CID44041__Endothelial,CID44041,Endothelial,147,TNBC,0.0
CID4290A__PVL,CID4290A,PVL,140,ER+,4.574025877100618
CID4067__CAFs,CID4067,CAFs,134,ER+,2.5912024521164154
CID4040__CAFs,CID4040,CAFs,129,ER+,3.664922783965
CID44041__PVL,CID44041,PVL,128,TNBC,1.3156861066196808
CID4465__Cancer Epithelial,CID4465,Cancer Epithelial,124,TNBC,1.3638939897499072
CID4515__PVL,CID4515,PVL,123,TNBC,2.398462132212412
CID4515__Endothelial,CID4515,Endothelial,122,TNBC,1.3471965577497025
CID3948__Myeloid,CID3948,Myeloid,122,ER+,4.483140310365406
CID4290A__B-cells,CID4290A,B-cells,117,ER+,2.352262399988279
CID4465__T-cells,CID4465,T-cells,116,TNBC,0.0
CID3946__Endothelial,CID3946,Endothelial,110,TNBC,3.456295568817776
CID4465__Plasmablasts,CID4465,Plasmablasts,109,TNBC,1.3549405974238091
CID3921__CAFs,CID3921,CAFs,106,HER2+,3.4340678531152387
CID4040__B-cells,CID4040,B-cells,105,ER+,3.0796444192888917
CID44041__Myeloid,CID44041,Myeloid,105,TNBC,0.0
