subtype,celltype_major,n_cells,n_expressing,pct_expressing,mean_expr,median_expr,mean_expr_pos
ER+,B-cells,600.0,2.0,0.333,0.009,0.0,2.686
ER+,CAFs,2566.0,220.0,8.574,0.101,0.0,1.179
ER+,Cancer Epithelial,11778.0,927.0,7.871,0.126,0.0,1.607
ER+,Endothelial,5193.0,439.0,8.454,0.084,0.0,0.996
ER+,Myeloid,1806.0,101.0,5.592,0.085,0.0,1.522
ER+,Normal Epithelial,2430.0,541.0,22.263,0.293,0.0,1.315
ER+,PVL,3257.0,429.0,13.172,0.172,0.0,1.308
ER+,Plasmablasts,628.0,7.0,1.115,0.008,0.0,0.701
ER+,T-cells,9804.0,109.0,1.112,0.018,0.0,1.618
HER2+,B-cells,624.0,0.0,0.0,0.0,0.0,
HER2+,CAFs,1448.0,233.0,16.091,0.233,0.0,1.447
HER2+,Cancer Epithelial,1767.0,59.0,3.339,0.016,0.0,0.465
HER2+,Endothelial,1015.0,82.0,8.079,0.114,0.0,1.415
HER2+,Myeloid,1421.0,218.0,15.341,0.131,0.0,0.853
HER2+,Normal Epithelial,967.0,201.0,20.786,0.293,0.0,1.408
HER2+,PVL,894.0,222.0,24.832,0.326,0.0,1.314
HER2+,Plasmablasts,224.0,2.0,0.893,0.009,0.0,1.029
HER2+,T-cells,10929.0,140.0,1.281,0.021,0.0,1.659
TNBC,B-cells,1974.0,2.0,0.101,0.001,0.0,1.19
TNBC,CAFs,2550.0,288.0,11.294,0.158,0.0,1.399
TNBC,Cancer Epithelial,10803.0,379.0,3.508,0.024,0.0,0.684
TNBC,Endothelial,1380.0,50.0,3.623,0.043,0.0,1.19
TNBC,Myeloid,6417.0,121.0,1.886,0.019,0.0,1.015
TNBC,Normal Epithelial,955.0,217.0,22.723,0.272,0.0,1.198
TNBC,PVL,1264.0,44.0,3.481,0.048,0.0,1.381
TNBC,Plasmablasts,2655.0,7.0,0.264,0.002,0.0,0.883
TNBC,T-cells,14446.0,79.0,0.547,0.009,0.0,1.577
